Ejecucion,GA,PSO,AEMP_GA,AEMP_PSO,AEMP_HIB
1,12,11,11,11,11
2,12,11,11,11,11
3,12,11,10,11,10
4,12,11,10,11,11
5,12,11,10,10,11
6,12,11,10,10,10
7,12,10,10,10,11
8,12,11,10,11,10
9,12,11,10,11,11
10,12,12,10,11,11
11,12,11,11,10,11
12,12,11,11,11,10
13,12,10,10,11,10
14,12,10,11,11,10
15,12,11,11,10,10
16,12,10,11,11,10
17,12,11,10,11,10
18,12,10,11,11,10
19,12,10,11,11,10
20,12,11,10,10,10
