Ejecucion,GA,PSO,AEMP_GA,AEMP_PSO,AEMP_HIB
1,17,16,16,16,16
2,17,16,16,16,16
3,17,16,16,16,16
4,17,16,16,16,16
5,17,16,16,16,16
6,17,16,16,16,16
7,17,16,15,16,16
8,17,16,16,17,16
9,17,16,16,16,16
10,17,16,16,16,16
11,17,16,16,16,16
12,17,17,16,15,16
13,17,16,16,16,16
14,17,16,17,16,16
15,17,17,16,16,16
16,17,17,16,16,16
17,17,16,16,16,16
18,17,16,16,16,16
19,17,17,16,16,16
20,17,17,15,16,16
